Location,Model Name,PRICE
Coimbatore assembly line 2,PRESTIGE POPULAR 5+3+2 COMBI,3799
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 1.5L,1125
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 2.0L-TALL BODY,1175
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 2.0L,1250
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 3.0L,1450
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 4.0L,1650
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 5.0L,1925
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 5.5L,2100
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 6.0L,2150
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 6.5L,2325
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 7.5L,2650
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 8.5L,2875
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 10L,3095
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 12L,3350
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS DVP 7.5+3LTR,4100
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS DVP 12+3LTR,4800
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS SPECIAL VALUE 3L + 2L BODY,2140
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS STARTER PACK  3+250MM TAWA,1450
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS STARTER PACK  5+280MM TAWA,1925
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS 5+3+2 COMBI,3999
Coimbatore assembly line 2,PRESTIGE DELUXE PLUS PRESSURE HANDI 3.3L (ALUMINIUM POWDER COATED),1900
Coimbatore assembly line 2,PRESTIGE DELUXE PLUS ALUMINIUM PRESSURE COOKER 3L (POLISHED),1650
Coimbatore assembly line 2,PRESTIGE DELUXE PLUS ALUMINIUM PRESSURE COOKER 5L (POLISHED),2225
Coimbatore assembly line 2,PRESTIGE DELUXE PLUS ALUMINUM PRESSURE COOKER 2L (POLISHED) POPULAR,1145
Coimbatore assembly line 2,PRESTIGE DELUXE PLUS ALUMINIUM PRESSURE PAN (POLISHE ),2160
Coimbatore assembly line 2,PRESTIGE DELUXE DUO PLUS HARD ANODISED PRESSURE HANDI WITH STAINLESS STEEL LID 2L-01U AND GLASS LID-01U,2200
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL KADAI 240MM (2.8L),1460
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL SAUCE PAN 180MM WITH LID (2L),1120
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL CASSROLE  200MM WITH LID (3L),1260
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL KADAI 260MM (3.7L),1550
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL KADAI 220MM (2.1L),1350
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL FRY PAN 220MM (1.7L),990
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL FRY PAN 240MM (2.1L),1120
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL FRY PAN 260MM (2.9L),1250
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL CASSROLE  180MM WITH LID (2L),1070
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL SAUCE PAN 200MM WITH LID (3L),1330
